"","shp_iucn_sid","iucn_sid","sciname","presence","subpop","dbf_file","max_depth","comp_assessed"
"102",48342366,48342366,"Plagiotremus tapeinosoma",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"103",48342389,48342389,"Entomacrodus decussatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"104",48342422,48342422,"Blenniella gibbifrons",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"105",48342477,48342477,"Plagiotremus rhinorhynchos",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"106",48342489,48342489,"Blenniella caudolineata",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/COMBTOOTHBLENNIES.dbf","< 200 m",TRUE
"107",192428,192428,"Conus rattus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"108",192879,192879,"Conus pertusus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"109",192573,192573,"Conus magnificus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"110",192593,192593,"Conus imperialis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"111",192811,192811,"Conus planorbis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"112",192812,192812,"Conus quercinus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"113",192815,192815,"Conus auricomus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"114",192305,192305,"Conus distans",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"115",192316,192316,"Conus textile",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"116",192318,192318,"Conus nussatella",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"117",192321,192321,"Conus striatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"118",192634,192634,"Conus miles",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"119",192636,192636,"Conus coronatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"120",192296,192296,"Conus sanguinolentus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"121",192297,192297,"Conus bullatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"122",192327,192327,"Conus muriculatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"123",192342,192342,"Conus emaciatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"124",192367,192367,"Conus catus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"125",192378,192378,"Conus litoglyphus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"126",192386,192386,"Conus leopardus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"127",192704,192704,"Conus acutangulus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"128",192413,192413,"Conus aureus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"129",192419,192419,"Conus frigidus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"130",192424,192424,"Conus obscurus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"131",192447,192447,"Conus armadillo",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"132",192460,192460,"Conus generalis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"133",192506,192506,"Conus pulicarius",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"134",192521,192521,"Conus retifer",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"135",192538,192538,"Conus ferrugineus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"136",192562,192562,"Conus flavidus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"137",192563,192563,"Conus aulicus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"138",192564,192564,"Conus moreleti",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","unknown",TRUE
"139",192567,192567,"Conus mitratus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"140",192580,192580,"Conus chaldaeus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"141",192586,192586,"Conus terebra",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"142",192587,192587,"Conus bandanus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"143",192611,192611,"Conus ebraeus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"144",192648,192648,"Conus tenuistriatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"145",192664,192664,"Conus episcopatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"146",192674,192674,"Conus sponsalis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"147",192694,192694,"Conus varius",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"148",192700,192700,"Conus eburneus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"149",192719,192719,"Conus litteratus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
"150",192722,192722,"Conus glans",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/CONUS.dbf","< 200 m",TRUE
